location,year,value
NANJING AND TAI&#8217;AN  CHINA ,2018,1
NAPLES ,2017,1
NEW DELHI ,2016,1
NEW JERSEY  USA ,2017,1
NEW ORLEANS ,2017,1
NEW ORLEANS  LOUISIANA ,2018,2
NEW YORK ,2013,1
NEW YORK ,2018,3
NEW YORK CITY  USA ,2018,1
NEW YORK  USA ,2013,2
NEW YORK  USA ,2017,1
NHATRANG  VIETNAM ,2017,2
NICE  FRANCE ,2017,2
NICOSIA  CYPRUS ,2017,1
ODISHA  INDIA ,2014,1
OLDENBURG  LOWER SAXONY  GERMANY ,2014,1
OLSZTYN  POLAND ,2017,1
OLTEN  SWITZERLAND ,2016,1
ONLINE ,2016,1
ONLINE ,2017,1
OPATIJA  CROATIA ,2013,1
ORANGE GARDENS  PARIS AREA  FRANCE ,2018,1
ORL?ANS - FRANCE ,2017,1
OSAKA  JAPAN ,2017,1
OSAKA  JAPAN ,2018,2
OUAGADOUGOU  BURKINA FASO (WEST AFRICA) ,2016,1
PALAIS DES CONGR?S NEPTUNE  TOULON  FRANCE ,2017,1
PAPHOS  CYPRUS ,2012,2
PARIS  FRANCE ,2011,1
PARIS  FRANCE ,2015,1
PARIS  FRANCE ,2017,1
PART OF BIONLP 2017 (VANCOUVER  CANADA) ,2017,1
PATRAS ,2017,1
PAU  FRANCE ,2018,3
PENANG  MALAYSIA ,2012,1
PENANG  MALAYSIA ,2017,1
PETROZAVODSK  RUSSIA ,2018,1
PHNOM PENH  CAMBODIA ,2017,1
PHUKET  THAILAND ,2017,1
PHUKET  THAILAND ,2018,3
PHUOC ISLAND  VIETNAM ,2018,1
PLAYA BLANCA  LANZAROTE ,2018,1
POITIERS  FUTUROSCOPE  FRANCE ,2012,1
POLAND ,2017,1
POLANICA ZDROJ  POLAND ,2017,1
PORTO ,2016,1
PORTO ,2017,2
PORTO  PORTUGAL ,2016,1
PORTO  PORTUGAL ,2017,4
PORTOROZ  SLOVENIA ,2017,1
POZNAN  POLAND ,2012,1
POZNAN  POLAND ,2017,1
POZNAN  POLAND ,2018,1
PRAGUE ,2012,1
PRAGUE ,2017,3
PRAGUE  CZECH REPUBLIC ,2013,2
PRAGUE  CZECH REPUBLIC ,2017,3
PRAGUE  CZECH REPUBLIC ,2018,2
PUEBLA  MEXICO ,2017,1
PUNE  INDIA ,2012,1
PUNE  INDIA ,2016,1
PUNE  INDIA ,2017,1
QUEBEC  CANADA ,2015,1
QUEBEC  CANADA ,2017,1
QUITO - ECUADOR ,2016,1
QUITO - ECUADOR ,2017,1
RABAT ,2012,1
RABAT  MOROCCO ,2018,2
RALEIGH ,2017,1
RALEIGH  U.S. ,2016,1
RALEIGH  U.S. ,2017,1
REGGIO DI CALABRIA ,2017,3
REPUBLIC OF MAURITIUS ,2017,1
REUNION ISLAND ,2012,1
GREECE ,2018,1
RIGA  LATVIA ,2016,1
RIGA  LATVIA ,2017,1
RIO DE JANEIRO  BRAZIL ,2016,1
RIVA DEL GARDA ,2016,1
RIYADH  SAUDI ARABIA ,2016,1
ROCCELLA JONICA (RC) - ITALY ,2013,1
BALI,2017,1
ROME  ITALY ,2012,4
ROTTERDAM  NETHERLANDS ,2013,1
SALT LAKE CITY  UTAH ,2018,1
SALZBURG  AUSTRIA ,2017,1
SAN DIEGO ,2017,1
SAN DIEGO  CALIFORNIA  USA ,2018,1
SAN DIEGO ,2018,1
SAN FRANCISCO ,2016,1
SAN FRANCISCO ,2017,1
SAN JOSE  CA ,2013,1
SANTA CLARA  CA  USA ,2013,1
SANTA CLARA  CALIFORNIA  USA ,2016,1
SANTA FE  NEW MEXICO  USA. ,2015,1
SANTIAGO  CHILE ,2018,1
SAO PAULO  BRAZIL ,2012,1
SAO PAULO  BRAZIL ,2017,1
SCOTTSDALE  ARIZONA  USA ,2012,2
SEATTLE  USA ,2011,1
SEATTLE  USA ,2018,2
SEATTLE  WA ,2011,1
SEOUL  SOUTH KOREA ,2012,1
SEOUL  SOUTH KOREA ,2015,1
SEOUL  SOUTH KOREA ,2016,1
SEOUL  SOUTH KOREA ,2017,5
SEVILLE ,2017,1
SHANGHAI ,2018,1
SHANGHAI  CHINA ,2017,4
SHANGHAI  CHINA ,2018,6
SHENZHEN ,2017,1
SHENZHEN  CHINA ,2016,1
SHENZHEN  CHINA ,2017,1
SHENZHEN  CHINA ,2018,1
SHIRAZ ,2017,2
SINGAPORE ,2017,10
SINGAPORE ,2018,6
SKOPJE ,2017,1
SKOPJE  MACEDONIA ,2017,1
SNOWBIRD (UTAH)  USA ,2014,2
SORRENTO COAST  ITALY ,2014,1
SOUTH PADRE ISLAND  TEXAS  USA ,2018,1
SPAIN ,2017,1
SPOKANE  WA  USA ,2018,1
SPRINGER ,2017,1
ST. PETERSBURG  RUSSIA ,2016,1
ST. PETERSBURG  RUSSIA ,2017,2
STIRLING  SCOTLAND  GREAT BRITAIN ,2016,1
STOCKHOLM ,2016,1
STOCKHOLM ,2018,1
STOCKHOLM  SWEDEN ,2018,3
STUTTGART  GERMANY ,2013,1
STUTTGART  GERMANY ,2017,1
SUZHOU ,2016,1
SUZHOU ,2017,1
SYDNEY  AUSTRALIA ,2013,1
SYDNEY  AUSTRALIA ,2017,8
SYDNEY  AUSTRALIA ,2018,2
TU DORTMUND  GERMANY ,2017,2
TAIPEI  TAIWAN ,2017,1
TALLINN  ESTONIA ,2014,2
TAORMINA-SICILY  ITALY ,2018,1
