Singapore	FICC 2018,ICIAS 2018,ACM--ICMSR and ISI 2018,ICFCC 2018,ICMVA 2018,ICVIP - Ei 2017,CIKM 2017,IEEE--ICAVE 2017,IEEE--ICSGSC 2017,ACMLC 2017,IALP 2017,ICCTS - Ei 2017,ICMCT 2017,ICITE 2017,ADMA 2017,ICIIC 2018,,
Skopje	BCI 2017,,
Skopje, Macedonia	ECML-PKDD 2017,,
Snowbird (Utah), USA	PODS 2014,GRADES 2014,,
Sorrento Coast, Italy	SEBD 2014,,
South Padre Island, Texas, USA	ICDIS 2018,,
Spain	INIT/AERFAISummerSchoolML 2017,,
Spokane, WA, USA	ISASE-MAICS 2018,,
Springer	PAD 2017,,
St. Petersburg, Russia	ISMW FRUCT 2016,ACM--ICMCE 2017,IEEE-ICMSC 2017,,
Stirling, Scotland, Great Britain	CIBB 2016,,
Stockholm	AAMAS 2018,IDA 2016,,
Stockholm, Sweden	ICCBR 2018,IJCAI 2018,COLT 2018,,
Stuttgart, Germany	NetSys PhD Forum 2013,BTW 2017,,
Suzhou	DASFAA 2017,APWeb 2016,,
Sydney, Australia	ICSS 2017,ICCMS  2018,ICAITA 2017,DMS 2017,CST 2017,ICICA 2018,ISWC-InUse 2013,ICML 2017,SAI 2017,UAI 2017,CMC 2017,,
TU Dortmund, Germany	KI 2017,DT 2017,,
Taipei, Taiwan	TAAI 2017,,
Tallinn, ESTONIA	DB&IS 2014,DB&IS 2014,,
Taormina-Sicily, Italy	MESS 2018,,
Thessaloniki, Greece	INISTA 2018,,
Timisoara	SYNASC 2017,,
Timisoara, Romania	SMART 2017,,
Tokyo	AKG 2017,,
Tokyo, Japan	SISAP 2016,DSAA 2017,DSSD 2017,ICBBB - Ei 2018,ACM--ICCIP 2017,,
Toledo (Spain)	DCAI 2018,,
Torino, Italy	ICAMS 2018,,
Toronto	Infitt-TIC 2017,,
Toronto, Canada	SISAP 2012,,
Toulouse	RSmeetDBs 2011,,
Toulouse, France	DEXA 2011,DaWaK 2011,DALI 2011,Globe 2011,IFAC World Congress SIMCA 2017,,
Trento, Italy	DBPL 2013,,
Trieste, Italy	PACMA 2017,ST-Analytics 2017,,
Troms�, Norway	SCIA 2017,,
Tsukuba, Japan	ICSR 2017,,
Tucson, AZ	ICCAC DS 2017,,
Tumkur	ICECIT 2013,,
Tunisia	ICBNA 2016,,
